filename,consonant,vowel
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug25.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug26.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug27.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug28.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug29.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug30.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug31.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug32.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug33.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug34.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug35.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug36.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug37.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug38.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug39.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug40.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug41.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug42.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug43.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug44.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug45.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug46.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug47.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug48.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug49.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug50.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug51.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug52.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug53.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug54.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug55.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug56.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug57.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug58.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug59.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug60.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug61.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug62.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug63.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug64.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug65.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug66.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug67.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug68.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug69.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug70.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug71.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug72.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug73.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug74.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug75.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug76.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug77.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug78.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug79.png",VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__orig.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug0.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug1.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug2.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug3.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug4.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug5.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug6.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug7.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug8.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug9.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug10.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug11.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug12.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug13.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug14.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug15.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug16.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug17.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug18.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug19.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug20.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug21.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug22.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug23.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug24.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug25.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug26.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug27.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug28.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug29.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug30.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug31.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug32.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug33.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug34.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug35.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug36.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug37.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug38.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug39.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug40.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug41.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug42.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug43.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug44.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug45.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug46.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug47.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug48.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug49.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug50.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug51.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug52.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug53.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug54.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug55.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug56.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug57.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug58.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug59.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug60.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug61.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug62.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug63.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug64.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug65.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug66.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug67.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug68.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug69.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug70.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug71.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug72.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug73.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug74.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug75.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug76.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug77.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug78.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Chilanka-Regular__aug79.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__orig.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug0.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug1.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug2.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug3.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug4.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug5.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug6.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug7.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug8.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug9.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug10.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug11.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug12.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug13.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug14.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug15.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug16.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug17.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug18.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug19.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug20.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug21.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug22.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug23.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug24.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug25.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug26.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug27.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug28.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug29.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug30.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug31.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug32.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug33.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug34.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug35.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug36.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug37.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug38.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug39.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug40.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug41.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug42.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug43.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug44.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug45.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug46.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug47.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug48.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug49.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug50.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug51.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug52.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug53.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug54.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug55.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug56.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug57.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug58.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug59.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug60.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug61.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug62.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug63.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug64.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug65.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug66.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug67.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug68.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug69.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug70.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug71.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug72.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug73.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug74.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug75.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug76.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug77.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug78.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Gayathri-Regular__aug79.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__orig.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug0.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug1.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug2.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug3.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug4.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug5.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug6.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug7.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug8.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug9.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug10.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug11.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug12.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug13.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug14.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug15.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug16.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug17.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug18.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug19.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug20.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug21.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug22.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug23.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug24.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug25.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug26.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug27.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug28.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug29.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug30.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug31.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug32.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug33.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug34.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug35.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug36.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug37.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug38.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug39.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug40.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug41.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug42.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug43.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug44.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug45.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug46.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug47.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug48.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug49.png,VOWEL_അ,NONE
VOWEL_U0D05__NONE__Manjari-Regular__aug50.png,VOWEL_അ,NONE
